date,q_pay,q_firm,q_asset,q_reserve,q_productive,q_housing,q_consumption,q_financial,q_government
1990-03-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
1990-06-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
1990-09-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
1990-12-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
1991-03-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
1991-06-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
1991-09-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
1991-12-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
1992-03-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
1992-06-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
1992-09-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
1992-12-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
1993-03-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
1993-06-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
1993-09-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
1993-12-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
1994-03-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
1994-06-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
1994-09-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
1994-12-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
1995-03-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
1995-06-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
1995-09-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
1995-12-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
1996-03-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
1996-06-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
1996-09-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
1996-12-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
1997-03-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
1997-06-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
1997-09-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
1997-12-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
1998-03-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
1998-06-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
1998-09-30,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
1998-12-31,0.3,0.3,0.25,0.15,0.3,0.12,0.18,0.25,0.15
