date,L_real,L_asset,U,Y,spread,depth,turnover,L_asset_toy,U_gdp_only,depth_toy,turnover_toy
1990-03-31,894815.7,357926.28,345769978514239.25,461295100000000.0,6.708666666666666,894815.7,10.0,357926.28,461295100000000.0,1000.0,1.0
1990-06-30,906614.2,362645.68,,,6.611666666666667,906614.2,10.0,362645.68,,1000.0,1.0
1990-09-30,934206.9,373682.76,,,7.474666666666667,934206.9,10.0,373682.76,,1000.0,1.0
1990-12-31,957306.6,382922.64,,,7.044666666666667,957306.6,10.0,382922.64,,1000.0,1.0
1991-03-31,967276.7,386910.68,368708087303470.7,491418900000000.0,6.444,967276.7,10.0,386910.68,491418900000000.0,1000.0,1.0
1991-06-30,978605.0,391442.0,,,6.6706666666666665,978605.0,10.0,391442.0,,1000.0,1.0
1991-09-30,991645.6,396658.24,,,6.388333333333333,991645.6,10.0,396658.24,,1000.0,1.0
1991-12-31,1013277.7,405311.08,,,5.843666666666667,1013277.7,10.0,405311.08,,1000.0,1.0
1992-03-31,1015794.4,406317.76,378867371568541.44,504161200000000.0,5.519333333333333,1015794.4,10.0,406317.76,504161200000000.0,1000.0,1.0
1992-06-30,1023105.3,409242.12000000005,,,5.696333333333333,1023105.3,10.0,409242.12000000005,,1000.0,1.0
1992-09-30,1033699.7,413479.88,,,5.1803333333333335,1033699.7,10.0,413479.88,,1000.0,1.0
1992-12-31,1051575.6,420630.24000000005,,,4.910333333333333,1051575.6,10.0,420630.24000000005,,1000.0,1.0
1993-03-31,1055118.8,422047.52,380107768107193.3,504497800000000.0,4.483333333333333,1055118.8,10.0,422047.52,504497800000000.0,1000.0,1.0
1993-06-30,1057038.5,422815.4,,,4.790666666666667,1057038.5,10.0,422815.4,,1000.0,1.0
1993-09-30,1065108.1,426043.24000000005,,,4.3133333333333335,1065108.1,10.0,426043.24000000005,,1000.0,1.0
1993-12-31,1077346.2,430938.48,,,3.6963333333333335,1077346.2,10.0,430938.48,,1000.0,1.0
1994-03-31,1073805.6,429522.24000000005,385078043961026.56,510916100000000.0,4.030333333333334,1073805.6,10.0,429522.24000000005,510916100000000.0,1000.0,1.0
1994-06-30,1070244.9,428097.95999999996,,,4.118333333333333,1070244.9,10.0,428097.95999999996,,1000.0,1.0
1994-09-30,1083003.8,433201.52,,,4.650333333333333,1083003.8,10.0,433201.52,,1000.0,1.0
1994-12-31,1094437.9,437775.16,,,4.654333333333334,1094437.9,10.0,437775.16,,1000.0,1.0
1995-03-31,1092392.5,436957.0,393041137273022.94,521613500000000.0,4.4110000000000005,1092392.5,10.0,436957.0,521613500000000.0,1000.0,1.0
1995-06-30,1086950.1,434780.04000000004,,,3.3183333333333334,1086950.1,10.0,434780.04000000004,,1000.0,1.0
1995-09-30,1095877.8,438351.12000000005,,,3.0593333333333335,1095877.8,10.0,438351.12000000005,,1000.0,1.0
1995-12-31,1108342.9,443337.16,,,2.985333333333333,1108342.9,10.0,443337.16,,1000.0,1.0
1996-03-31,1106686.8,442674.72000000003,403170390494037.06,535562100000000.0,3.2300000000000004,1106686.8,10.0,442674.72000000003,535562100000000.0,1000.0,1.0
1996-06-30,1105067.3,442026.92000000004,,,3.3136666666666663,1105067.3,10.0,442026.92000000004,,1000.0,1.0
1996-09-30,1104866.4,441946.56,,,3.1436666666666664,1104866.4,10.0,441946.56,,1000.0,1.0
1996-12-31,1116831.8,446732.72000000003,,,2.718666666666666,1116831.8,10.0,446732.72000000003,,1000.0,1.0
1997-03-31,1104924.6,441969.8400000001,408713674575868.9,543545400000000.0,2.5796666666666668,1104924.6,10.0,441969.8400000001,543545400000000.0,1000.0,1.0
1997-06-30,1102705.6,441082.24000000005,,,2.6006666666666667,1102705.6,10.0,441082.24000000005,,1000.0,1.0
1997-09-30,1103383.7,441353.48,,,2.356333333333333,1103383.7,10.0,441353.48,,1000.0,1.0
1997-12-31,1121328.5,448531.4,,,1.9580000000000002,1121328.5,10.0,448531.4,,1000.0,1.0
1998-03-31,1103030.6,441212.24000000005,403731681039941.94,536497400000000.0,1.9343333333333332,1103030.6,10.0,441212.24000000005,536497400000000.0,1000.0,1.0
1998-06-30,1096157.3,753964.0,,,1.6873333333333334,1096157.3,10.0,438462.92000000004,,1000.0,1.0
1998-09-30,1096166.3,783667.0,,,1.4293333333333333,1096166.3,10.0,438466.52,,1000.0,1.0
1998-12-31,1069142.2,912382.0,,,1.1146666666666667,1069142.2,10.0,427656.88,,1000.0,1.0
1999-03-31,1046536.1,797450.0,420587981247312.94,528069900000000.0,1.9476666666666667,1046536.1,10.0,418614.44,528069900000000.0,1000.0,1.0
1999-06-30,1033291.7,734211.0,,,1.5096666666666667,1033291.7,10.0,413316.68,,1000.0,1.0
1999-09-30,1028429.7,688207.0,,,1.78,1028429.7,10.0,411371.88,,1000.0,1.0
1999-12-31,1037476.6,1113478.0,,,1.7586666666666666,1037476.6,10.0,414990.64,,1000.0,1.0
2000-03-31,1026246.9,1062017.0,442631299509709.06,535417700000000.0,1.7686666666666666,1026246.9,10.0,410498.76,535417700000000.0,1000.0,1.0
2000-06-30,1008805.5,837194.0,,,1.703,1008805.5,10.0,403522.2,,1000.0,1.0
2000-09-30,1008098.1,853390.0,,,1.7716666666666665,1008098.1,10.0,403239.24,,1000.0,1.0
2000-12-31,1004551.3,1067962.0,,,1.7343333333333335,1004551.3,10.0,401820.52,,1000.0,1.0
2001-03-31,994138.2,1150959.0,445678025296954.1,531653900000000.0,1.364,994138.2,10.0,397655.28,531653900000000.0,1000.0,1.0
2001-06-30,979499.6,1169329.0,,,1.2389999999999999,979499.6,10.0,391799.84,,1000.0,1.0
2001-09-30,975196.7,1156156.0,,,1.3313333333333335,975196.7,10.0,390078.68,,1000.0,1.0
2001-12-31,972240.6,1175079.0,,,1.3416666666666668,972240.6,10.0,388896.24,,1000.0,1.0
2002-03-31,960634.2,1385648.0,455646713904616.75,524478700000000.0,1.4473333333333331,960634.2,10.0,384253.68,524478700000000.0,1000.0,1.0
2002-06-30,949681.1,1241193.0,,,1.3623333333333332,949681.1,10.0,379872.44,,1000.0,1.0
2002-09-30,935761.8,1244691.0,,,1.2266666666666666,935761.8,10.0,374304.72000000003,,1000.0,1.0
2002-12-31,939259.7,1251263.0,,,1.0163333333333333,939259.7,10.0,375703.88,,1000.0,1.0
2003-03-31,924372.0,1411674.0,456952117724621.2,523968600000000.0,0.7959999999999999,924372.0,10.0,369748.80000000005,523968600000000.0,1000.0,1.0
2003-06-30,907895.5,1252605.0,,,0.5896666666666667,907895.5,10.0,363158.2,,1000.0,1.0
2003-09-30,895945.9,1339295.0,,,1.2606666666666666,895945.9,10.0,358378.36000000004,,1000.0,1.0
2003-12-31,896565.0,1313685.0,,,1.3666666666666665,896565.0,10.0,358626.0,,1000.0,1.0
2004-03-31,883902.3,1493819.0,466001938665383.06,529400900000000.0,1.3196666666666668,883902.3,10.0,353560.92000000004,529400900000000.0,1000.0,1.0
2004-06-30,871859.2,1347362.0,,,1.6106666666666667,871859.2,10.0,348743.68,,1000.0,1.0
2004-09-30,865614.4,1394564.0,,,1.5963333333333332,865614.4,10.0,346245.76,,1000.0,1.0
2004-12-31,868075.1,1445467.0,,,1.444,868075.1,10.0,347230.04000000004,,1000.0,1.0
2005-03-31,872895.3,1505173.0,468907492930054.1,532515600000000.0,1.3513333333333335,872895.3,10.0,349158.12000000005,532515600000000.0,1000.0,1.0
2005-06-30,863179.7,1442122.0,,,1.2126666666666666,863179.7,10.0,345271.88,,1000.0,1.0
2005-09-30,869192.2,1481357.0,,,1.3699999999999999,869192.2,10.0,347676.88,,1000.0,1.0
2005-12-31,873067.2,1556071.0,,,1.485,873067.2,10.0,349226.88,,1000.0,1.0
2006-03-31,870342.8,1448629.0,467153827904374.75,535170200000000.0,1.6346666666666667,870342.8,10.0,348137.12000000005,535170200000000.0,1000.0,1.0
2006-06-30,866632.8,1138328.0,,,1.902,866632.8,10.0,346653.12000000005,,1000.0,1.0
2006-09-30,869353.8,1174523.0,,,1.7409999999999999,869353.8,10.0,347741.52,,1000.0,1.0
2006-12-31,872353.9,1155436.0,,,1.6843333333333332,872353.9,10.0,348941.56000000006,,1000.0,1.0
2007-03-31,870578.4,1127409.0,449513171977154.4,539281700000000.0,1.6580000000000001,870578.4,10.0,348231.36000000004,539281700000000.0,1000.0,1.0
2007-06-30,857449.4,1000712.0,,,1.763,857449.4,10.0,342979.76,,1000.0,1.0
2007-09-30,862398.0,1110324.0,,,1.6946666666666665,862398.0,10.0,344959.2,,1000.0,1.0
2007-12-31,867065.5,1112844.0,,,1.5463333333333333,867065.5,10.0,346826.2,,1000.0,1.0
2008-03-31,855323.8,1134262.0,441930393959344.9,527823800000000.0,1.3676666666666666,855323.8,10.0,342129.52,527823800000000.0,1000.0,1.0
2008-06-30,863894.3,1014199.0,,,1.6596666666666666,863894.3,10.0,345557.72000000003,,1000.0,1.0
2008-09-30,861822.7,1125287.0,,,1.4829999999999999,861822.7,10.0,344729.08,,1000.0,1.0
2008-12-31,875499.0,1227708.0,,,1.359,875499.0,10.0,350199.60000000003,,1000.0,1.0
2009-03-31,865241.1,1238886.0,425593725499502.8,494938400000000.0,1.2906666666666666,865241.1,10.0,346096.44,494938400000000.0,1000.0,1.0
2009-06-30,859173.2,1098429.0,,,1.4153333333333336,859173.2,10.0,343669.28,,1000.0,1.0
2009-09-30,855849.7,1163248.0,,,1.3193333333333335,855849.7,10.0,342339.88,,1000.0,1.0
2009-12-31,852994.0,1225336.0,,,1.3096666666666665,852994.0,10.0,341197.60000000003,,1000.0,1.0
2010-03-31,840953.3,1218241.0,431689516094523.4,505530600000000.0,1.3213333333333332,840953.3,10.0,336381.32000000007,505530600000000.0,1000.0,1.0
2010-06-30,835064.2,1132336.0,,,1.2076666666666667,835064.2,10.0,334025.68,,1000.0,1.0
2010-09-30,830407.4,1203317.0,,,0.9986666666666667,830407.4,10.0,332162.96,,1000.0,1.0
2010-12-31,826419.9,1287104.0,,,1.0656666666666668,826419.9,10.0,330567.96,,1000.0,1.0
2011-03-31,819842.8,1423631.0,439152110075570.06,497448900000000.0,1.2226666666666668,819842.8,10.0,327937.12000000005,497448900000000.0,1000.0,1.0
2011-06-30,813816.3,1295844.0,,,1.139,813816.3,10.0,325526.52,,1000.0,1.0
2011-09-30,813906.0,1376890.0,,,1.0243333333333333,813906.0,10.0,325562.4,,1000.0,1.0
2011-12-31,813857.6,1430219.0,,,1.0236666666666667,813857.6,10.0,325543.04000000004,,1000.0,1.0
2012-03-31,811753.4,1394569.0,439413764398286.94,500474700000000.0,0.9623333333333334,811753.4,10.0,324701.36000000004,500474700000000.0,1000.0,1.0
2012-06-30,800241.7,1436265.0,,,0.8496666666666667,800241.7,10.0,320096.68,,1000.0,1.0
2012-09-30,804321.4,1499208.0,,,0.779,804321.4,10.0,321728.56000000006,,1000.0,1.0
