date,M_in,M_out
1999-01-01,694638.0,694638.0
1999-02-01,692641.0,692641.0
1999-03-01,699396.0,699396.0
1999-04-01,698296.0,698296.0
1999-05-01,705060.0,705060.0
1999-06-01,695644.0,695644.0
1999-07-01,739725.0,739725.0
1999-08-01,733966.0,733966.0
1999-09-01,728600.0,728600.0
1999-10-01,742624.0,742624.0
1999-11-01,743495.0,743495.0
1999-12-01,806304.0,806304.0
2000-01-01,772749.0,772749.0
2000-02-01,752207.0,752207.0
2000-03-01,774421.0,774421.0
2000-04-01,782962.0,782962.0
2000-05-01,779222.0,779222.0
2000-06-01,812468.0,812468.0
2000-07-01,800725.0,800725.0
2000-08-01,796968.0,796968.0
2000-09-01,826310.0,826310.0
2000-10-01,822086.0,822086.0
2000-11-01,833103.0,833103.0
2000-12-01,836078.0,836078.0
2001-01-01,853462.0,853462.0
2001-02-01,871589.0,871589.0
2001-03-01,847959.0,847959.0
2001-04-01,839272.0,839272.0
2001-05-01,825427.0,825427.0
2001-06-01,862767.0,862767.0
2001-07-01,862061.0,862061.0
2001-08-01,833389.0,833389.0
2001-09-01,817364.0,817364.0
2001-10-01,809996.0,809996.0
2001-11-01,810690.0,810690.0
2001-12-01,813762.0,813762.0
2002-01-01,839687.0,839687.0
2002-02-01,777402.0,777402.0
2002-03-01,814901.0,814901.0
2002-04-01,788835.0,788835.0
2002-05-01,793333.0,793333.0
2002-06-01,780845.0,780845.0
2002-07-01,783540.0,783540.0
2002-08-01,770838.0,770838.0
2002-09-01,772822.0,772822.0
2002-10-01,798028.0,798028.0
2002-11-01,796464.0,796464.0
2002-12-01,795161.0,795161.0
2003-01-01,786730.0,786730.0
2003-02-01,790649.0,790649.0
2003-03-01,798674.0,798674.0
2003-04-01,800643.0,800643.0
2003-05-01,801435.0,801435.0
2003-06-01,813568.0,813568.0
2003-07-01,828475.0,828475.0
2003-08-01,814810.0,814810.0
2003-09-01,829239.0,829239.0
2003-10-01,818606.0,818606.0
2003-11-01,833339.0,833339.0
2003-12-01,834796.0,834796.0
2004-01-01,824392.0,824392.0
2004-02-01,824024.0,824024.0
2004-03-01,830349.0,830349.0
2004-04-01,853538.0,853538.0
2004-05-01,867250.0,867250.0
2004-06-01,895838.0,895838.0
2004-07-01,883749.0,883749.0
2004-08-01,881876.0,881876.0
2004-09-01,885811.0,885811.0
2004-10-01,893778.0,893778.0
2004-11-01,899065.0,899065.0
2004-12-01,884324.0,884324.0
2005-01-01,894782.0,894782.0
2005-02-01,913849.0,913849.0
2005-03-01,926434.0,926434.0
2005-04-01,934479.0,934479.0
2005-05-01,927781.0,927781.0
2005-06-01,967868.0,967868.0
2005-07-01,996796.0,996796.0
2005-08-01,992270.0,992270.0
2005-09-01,996044.0,996044.0
2005-10-01,1003504.0,1003504.0
2005-11-01,1017239.0,1017239.0
2005-12-01,1038616.0,1038616.0
2006-01-01,1055186.0,1055186.0
2006-02-01,1062732.0,1062732.0
2006-03-01,1067477.0,1067477.0
2006-04-01,1080389.0,1080389.0
2006-05-01,1084094.0,1084094.0
2006-06-01,1112770.0,1112770.0
2006-07-01,1128285.0,1128285.0
2006-08-01,1113025.0,1113025.0
2006-09-01,1118315.0,1118315.0
2006-10-01,1118736.0,1118736.0
2006-11-01,1133314.0,1133314.0
2006-12-01,1150030.0,1150030.0
2007-01-01,1148148.0,1148148.0
2007-02-01,1150396.0,1150396.0
2007-03-01,1162604.0,1162604.0
2007-04-01,1176308.0,1176308.0
2007-05-01,1187052.0,1187052.0
2007-06-01,1208453.0,1208453.0
2007-07-01,1212584.0,1212584.0
2007-08-01,1157534.0,1157534.0
2007-09-01,1250396.0,1250396.0
2007-10-01,1263504.0,1263504.0
2007-11-01,1297266.0,1297266.0
2007-12-01,1507981.0,1507981.0
2008-01-01,1337542.0,1337542.0
2008-02-01,1336758.0,1336758.0
2008-03-01,1390804.0,1390804.0
2008-04-01,1405859.0,1405859.0
2008-05-01,1423245.0,1423245.0
2008-06-01,1462710.0,1462710.0
2008-07-01,1450899.0,1450899.0
2008-08-01,1449139.0,1449139.0
2008-09-01,1518548.0,1518548.0
2008-10-01,2031447.0,2031447.0
2008-11-01,1979051.0,1979051.0
2008-12-01,2075107.0,2075107.0
2009-01-01,1906979.0,1906979.0
2009-02-01,1820268.0,1820268.0
2009-03-01,1803083.0,1803083.0
2009-04-01,1823963.0,1823963.0
2009-05-01,1799610.0,1799610.0
2009-06-01,1997319.0,1997319.0
2009-07-01,1854093.0,1854093.0
2009-08-01,1821371.0,1821371.0
2009-09-01,1790242.0,1790242.0
2009-10-01,1779000.0,1779000.0
2009-11-01,1759186.0,1759186.0
2009-12-01,1903024.0,1903024.0
2010-01-01,1877655.0,1877655.0
2010-02-01,1889017.0,1889017.0
2010-03-01,1894898.0,1894898.0
2010-04-01,1956819.0,1956819.0
2010-05-01,2088450.0,2088450.0
2010-06-01,2154245.0,2154245.0
2010-07-01,2001660.0,2001660.0
2010-08-01,1957926.0,1957926.0
2010-09-01,1971356.0,1971356.0
2010-10-01,1895679.0,1895679.0
2010-11-01,1915961.0,1915961.0
2010-12-01,2004432.0,2004432.0
2011-01-01,1965568.0,1965568.0
2011-02-01,1952278.0,1952278.0
2011-03-01,1928055.0,1928055.0
2011-04-01,1894101.0,1894101.0
2011-05-01,1900610.0,1900610.0
2011-06-01,1972174.0,1972174.0
2011-07-01,2000471.0,2000471.0
2011-08-01,2071633.0,2071633.0
2011-09-01,2288571.0,2288571.0
2011-10-01,2333373.0,2333373.0
2011-11-01,2419548.0,2419548.0
2011-12-01,2733270.0,2733270.0
2012-01-01,2682576.0,2682576.0
2012-02-01,2692598.0,2692598.0
2012-03-01,2964427.0,2964427.0
2012-04-01,2962103.0,2962103.0
2012-05-01,2980310.0,2980310.0
2012-06-01,3102227.0,3102227.0
2012-07-01,3094144.0,3094144.0
2012-08-01,3084769.0,3084769.0
2012-09-01,3082432.0,3082432.0
2012-10-01,3046543.0,3046543.0
2012-11-01,3033294.0,3033294.0
2012-12-01,2962613.0,2962613.0
2013-01-01,2928781.0,2928781.0
2013-02-01,2748823.0,2748823.0
2013-03-01,2648126.0,2648126.0
2013-04-01,2611252.0,2611252.0
2013-05-01,2549449.0,2549449.0
2013-06-01,2430423.0,2430423.0
2013-07-01,2396181.0,2396181.0
2013-08-01,2360639.0,2360639.0
2013-09-01,2338044.0,2338044.0
2013-10-01,2318744.0,2318744.0
2013-11-01,2290956.0,2290956.0
2013-12-01,2273267.0,2273267.0
2014-01-01,2217061.0,2217061.0
2014-02-01,2181079.0,2181079.0
2014-03-01,2152103.0,2152103.0
2014-04-01,2169061.0,2169061.0
2014-05-01,2197095.0,2197095.0
2014-06-01,2088099.0,2088099.0
2014-07-01,2044312.0,2044312.0
2014-08-01,2038716.0,2038716.0
2014-09-01,2038235.0,2038235.0
2014-10-01,2052070.0,2052070.0
2014-11-01,2053892.0,2053892.0
2014-12-01,2150247.0,2150247.0
2015-01-01,2181954.0,2181954.0
2015-02-01,2155836.0,2155836.0
2015-03-01,2250801.0,2250801.0
2015-04-01,2360790.0,2360790.0
2015-05-01,2416664.0,2416664.0
2015-06-01,2539544.0,2539544.0
2015-07-01,2536592.0,2536592.0
2015-08-01,2558780.0,2558780.0
2015-09-01,2620631.0,2620631.0
2015-10-01,2664996.0,2664996.0
2015-11-01,2706740.0,2706740.0
2015-12-01,2767815.0,2767815.0
2016-01-01,2808331.0,2808331.0
2016-02-01,2850299.0,2850299.0
2016-03-01,2897696.0,2897696.0
2016-04-01,3000759.0,3000759.0
2016-05-01,3067481.0,3067481.0
2016-06-01,3131095.0,3131095.0
2016-07-01,3284309.0,3284309.0
2016-08-01,3330487.0,3330487.0
2016-09-01,3438145.0,3438145.0
2016-10-01,3507401.0,3507401.0
2016-11-01,3566230.0,3566230.0
2016-12-01,3662901.0,3662901.0
2017-01-01,3740766.0,3740766.0
2017-02-01,3808242.0,3808242.0
2017-03-01,4100730.0,4100730.0
2017-04-01,4148032.0,4148032.0
2017-05-01,4195685.0,4195685.0
2017-06-01,4209510.0,4209510.0
2017-07-01,4248280.0,4248280.0
2017-08-01,4278881.0,4278881.0
2017-09-01,4318624.0,4318624.0
2017-10-01,4371222.0,4371222.0
2017-11-01,4440791.0,4440791.0
2017-12-01,4471689.0,4471689.0
2018-01-01,4491151.0,4491151.0
2018-02-01,4519360.0,4519360.0
2018-03-01,4529579.0,4529579.0
2018-04-01,4554344.0,4554344.0
2018-05-01,4567744.0,4567744.0
2018-06-01,4592518.0,4592518.0
2018-07-01,4602258.0,4602258.0
2018-08-01,4621355.0,4621355.0
2018-09-01,4619792.0,4619792.0
2018-10-01,4622163.0,4622163.0
2018-11-01,4660299.0,4660299.0
2018-12-01,4669003.0,4669003.0
2019-01-01,4695505.0,4695505.0
2019-02-01,4686299.0,4686299.0
2019-03-01,4695785.0,4695785.0
2019-04-01,4683918.0,4683918.0
2019-05-01,4685961.0,4685961.0
2019-06-01,4692614.0,4692614.0
2019-07-01,4679180.0,4679180.0
2019-08-01,4683714.0,4683714.0
2019-09-01,4638104.0,4638104.0
2019-10-01,4676258.0,4676258.0
2019-11-01,4698291.0,4698291.0
2019-12-01,4691998.0,4691998.0
2020-01-01,4671365.0,4671365.0
