date,p_R,V_R,capital_headroom,lcr_headroom,nsfr_headroom,hy_oas,usjp_10y_spread,usd_jpy_return,vix,E_p,E_T
2003-01-01,1.24,730994.0,694736.6976000001,685672.372,676608.0464,1.095424795188612,0.7335070680561052,-1.0279184893997508,1.078689550636472,0.26700445794832217,1.078689550636472
2003-10-01,1.01,753155.0,722727.5380000001,715120.6725,707513.807,-0.01461422762912241,0.34631983482611955,-1.895129381807114,-0.1942560421696701,-0.5211412582033722,-0.1942560421696701
2004-09-01,1.61,785273.0,734701.4188,722058.5235,709415.6282,-0.32857516107203166,0.21614191976250186,-0.0577636580983136,-0.7281060298684428,-0.05673229980261447,-0.7281060298684428
2004-12-01,2.16,807063.0,737332.7568,719900.196,702467.6352,-0.525665727174819,0.325246610972108,-0.34652658408776144,-0.9476576812922816,-0.18231523343015746,-0.9476576812922816
2005-06-01,3.04,817335.0,717947.064,693100.08,668253.096,-0.22813319056441836,0.3481821197248469,0.7918392250536891,-1.0276715659239122,0.30396271807137254,-1.0276715659239122
2006-02-01,4.49,831808.0,682415.2832000001,645067.1039999999,607718.9247999999,-0.1569991644889942,0.4729964774109692,0.8096927093489709,-0.9460995161705078,0.3752300074236486,-0.9460995161705078
2006-03-01,4.59,839356.0,685250.2384,646723.798,608197.3576,-0.1337218973750679,0.46649047981282926,-0.20411199067284666,-1.0513305209081345,0.0428855305883049,-1.0513305209081345
2006-11-01,5.25,855536.0,675873.4400000001,630957.8,586042.16,-0.23143177744479998,0.40215104274232955,-0.44236831192885684,-1.1699878368417904,-0.09054968221044242,-1.1699878368417904
2007-08-01,5.02,870261.0,695512.5912,651825.489,608138.3868000001,0.17580028546141513,0.6097457868050329,-1.5761346199406472,0.7539539835592558,-0.2635295158913997,0.7539539835592558
2008-10-01,0.97,1503989.0,1445634.2268,1431045.5335,1416456.8402,3.409534079438083,-0.2201088193707772,-2.5622804252308664,5.649133868031423,0.20904827827881314,5.649133868031423
2009-04-01,0.15,2078936.0,2066462.384,2063343.9800000002,2060225.576,3.302784159091827,-1.0858192587209254,0.42597960170814086,2.519367387088466,0.8809815006930143,2.519367387088466
2009-07-01,0.16,2005627.0,1992790.9872,1989581.984,1986372.9807999998,1.566125972177991,-0.38379386046937825,-0.9460481295348722,0.9078643033152288,0.07876132739124686,0.9078643033152288
2010-09-01,0.19,2301996.0,2284500.8304,2280127.038,2275753.2456,-0.13841162741804447,-0.8437968999776441,-0.48404235308237065,0.41428707886449234,-0.4887502934926864,0.41428707886449234
2010-12-01,0.18,2346920.0,2330022.176,2325797.72,2321573.264,-0.262768352808423,-0.4035928893926822,0.3884059756589194,-0.25572222665475164,-0.09265175551406192,-0.25572222665475164
2011-06-01,0.09,2788723.0,2778683.5971999997,2776173.7465000004,2773663.8958,-0.38564071410262957,-0.6619604153423315,-0.35213758739616685,-0.041285015841981715,-0.466579572280376,-0.041285015841981715
2012-02-01,0.1,2924947.0,2913247.212,2910322.265,2907397.318,-0.3923556945376918,-1.6460799693246715,0.7675175812363287,-0.14049607787100088,-0.4236393608753448,-0.14049607787100088
2012-08-01,0.13,2851118.0,2836292.1864,2832585.733,2828879.2796,-0.5606164064247733,-1.7832647389296086,-0.1297804305305375,-0.5102868020177315,-0.8245538586283065,-0.5102868020177315
2013-05-01,0.11,3317194.0,3302598.3464,3298949.433,3295300.5195999998,-1.058817758819071,-1.5989837643858225,1.2641800334068767,-0.8076333831869283,-0.464540496599339,-0.8076333831869283
2014-01-01,0.07,4023640.0,4012373.8079999997,4009557.2600000002,4006740.7120000003,-0.9437616142631597,-0.3106700070649933,0.10993718290444579,-0.7064407318758782,-0.38149814614123573,-0.7064407318758782
2014-10-01,0.09,4450260.0,4434239.064,4430233.83,4426228.596,-0.8149231132200893,-0.7473314756997455,0.21640316609980179,-0.18948732168761123,-0.448617140940011,-0.18948732168761123
2015-04-01,0.12,4481799.0,4460286.3648,4454908.206,4449530.0472,-0.8495398361585516,-1.0105017363882156,-0.300805951662597,-0.80748097578763,-0.7202825080697881,-0.80748097578763
2015-07-01,0.13,4479130.0,4455838.524,4450015.655,4444192.786,-0.5715017431300319,-0.6659790301237936,-0.13802401738744055,-0.6913055047609428,-0.458501596880422,-0.6913055047609428
2016-06-01,0.38,4461393.0,4393579.8264,4376626.533,4359673.2396,-0.380362975094019,-0.7095957027518641,-1.310114623440774,-0.22796356360177755,-0.800024433762219,-0.22796356360177755
2017-02-01,0.66,4453881.0,4336298.5416,4306902.927,4277507.3124,-0.9438275860007672,-0.1760588172925871,-0.693547736983375,-1.0734544093044316,-0.6044780467589098,-1.0734544093044316
2017-03-01,0.79,4458018.0,4317144.6312,4281926.289,4246707.9468,-0.8909627116539245,-0.12453141500317884,-0.0044737988414516455,-1.023719040586089,-0.3399893084995183,-1.023719040586089
2017-11-01,1.16,4455887.0,4249133.8432,4197445.554,4145757.2648,-0.9577806085047808,-0.23062909546533764,-0.0400981026788986,-1.2075152280074828,-0.40950260221633905,-1.2075152280074828
2018-08-01,1.91,4255653.0,3930521.1108,3849238.1385,3767955.1662,-0.785422273163809,0.2661861844012805,-0.19442473035382046,-0.9358215136760376,-0.23788693970544963,-0.9358215136760376
2019-05-01,2.39,3889691.0,3517836.5404,3424872.9255,3331909.3106,-0.7543438480777809,-0.04554411386382494,-0.6079937250515499,-0.37051137653012867,-0.4692938956643853,-0.37051137653012867
2020-01-01,1.55,4173626.0,3914861.1879999996,3850169.985,3785478.782,-1.1538815985434538,-0.7650908592577771,0.054378554046517556,-0.7470631656119368,-0.6215313012515711,-0.7470631656119368
2020-04-01,0.05,5811607.0,5799983.786,5797077.9825,5794172.179,0.06379174834933415,-1.9780264182968152,0.02023421508442721,2.9784008883059276,-0.6313334849543513,2.9784008883059276
2020-07-01,0.09,7009040.0,6983807.455999999,6977499.32,6971191.184,-0.8488411913596634,-2.068573603848936,-0.3402994993478951,0.9996340740735062,-1.0859047648521647,0.9996340740735062
2021-09-01,0.08,8349173.0,8322455.6464,8315776.308,8309096.9695999995,-1.581213528896862,-1.318035450616526,0.10565019475538871,0.04965237604320493,-0.9311995949193331,0.04965237604320493
2021-12-01,0.08,8650402.0,8622720.7136,8615800.391999999,8608880.0704,-1.4182633370060218,-1.2261347246618226,-0.052544563162892965,0.2567974789818541,-0.8989808749435791,0.2567974789818541
2022-06-01,1.21,8915050.0,8483561.58,8375689.475,8267817.37,-0.13214431234532037,0.4162698693554828,1.547661333990836,1.188220645236057,0.6105956303336662,1.188220645236057
2023-02-01,4.57,8433610.0,6891946.091999999,6506530.114999999,6121114.138,-0.05231850984009066,0.7704565101820866,0.7814065029519627,0.08969771329999743,0.4998481677646529,0.08969771329999743
2023-03-01,4.65,8339684.0,6788502.776,6400707.47,6012912.164,0.09061069385504342,0.8741774578596893,0.17882171686847353,0.296039071096845,0.38120328952773536,0.296039071096845
2023-11-01,5.33,7866664.0,6189491.2352,5770198.044000001,5350904.8528,0.08044961209526046,1.4130590282440718,0.01663686362803522,-0.7364825750068016,0.5033818346557891,-0.7364825750068016
2024-05-01,5.33,7362474.0,5792794.543199999,5400374.6790000005,5007954.8148,-0.24904336304961863,0.9488180070615114,0.5039891887815594,-0.8665278839552536,0.4012546109311508,-0.8665278839552536
2025-01-01,4.33,6852491.0,5665639.5588,5368926.6985,5072213.8382,-0.46266271775953477,0.9183866849068806,0.6803093409092537,-0.36484885546389006,0.3786777693521998,-0.36484885546389006
