date,L_real,L_asset,U,Y,spread,depth,turnover,Hq,S_M_hat,S_M,S_M_in,S_M_out,S_M_in_q_productive,S_M_in_q_housing,S_M_in_q_consumption,S_M_in_q_financial,S_M_in_q_government,T_L,p_C,V_C,capital_headroom,lcr_headroom,nsfr_headroom,hy_oas,usjp_10y_spread,usd_jpy_return,vix,E_p,E_T,q_pay,q_firm,q_asset,q_reserve,q_productive,q_financial,q_government,q_housing,q_consumption,M_in,M_out,loop_area,p_C_baseline,E_p_contrib,p_C_coupling_alpha,mu_q_productive,mu_q_housing,mu_q_consumption,mu_q_financial,mu_q_government,mu_mean,dmu_q_productive,dmu_q_housing,dmu_q_consumption,dmu_q_financial,dmu_q_government,V_C_legacy,V_C_headroom,V_C_formula_used,U_trend,U_star,U_used_for_energy,F_C,X_C,F_C_baseline,F_C_baseline_mode,F_C_baseline_offset,Delta_F_C,X_C_plus,X_C_minus,dS_dV_at_T,dp_dT_at_V,maxwell_gap,dU,dS,dV,dF_C,T_bar,p_bar,Q_like,W_like,dU_pred,firstlaw_resid,L_asset_toy,depth_toy,turnover_toy
2003-03-31,16107.287,6442.9148000000005,11456450000000.0,11456450000000.0,3.92,666.6106718713271,10.0,1.5706392485452598,0.9758930347116269,1138743.2973410357,1138743.2973410357,1138743.2973410357,217505.70000000004,101502.66,152253.99000000002,145003.80000000002,108752.85000000002,0.8485228762373642,1.292474259190542,676608.0464,694736.6976000001,685672.372,676608.0464,1.0843650733148529,0.7272468963391555,-1.024498081795877,1.0733655565427864,0.2623712959527103,1.0733655565427864,0.35,0.3,0.2,0.15,0.30000000000000004,0.20000000000000004,0.15000000000000002,0.14,0.21000000000000002,725019.0,725019.0,0.0,1.24,0.052474259190542064,0.2,-147884.1586195857,-700450.1770145748,-406480.2697991016,-441854.065835059,-650429.0343219766,-469419.5411180595,321535.38249847374,-231030.63589651528,62939.27131895791,27565.4752830005,-181009.4932039171,730994.0,676608.0464,min_headroom,,,U,11456462822010.756,11456454175226.85,-13960754.051788347,min,13960754.051789347,0.0,0.0,-0.0,,,,,,,,,,,,,,6442.9148000000005,1000.0,1.0
2003-06-30,16531.904,6612.7616,16531.904,16531.904,3.6206349206349207,684.1837258349142,1.0,1.5706392485452598,0.9758930347116269,1168583.872424147,1168583.872424147,1168583.872424147,223205.40000000002,104162.52,156243.78000000003,148803.60000000003,111602.70000000001,0.8511113066311619,,,,,,,,,,,,0.35,0.3,0.2,0.15,0.30000000000000004,0.20000000000000004,0.15000000000000002,0.14,0.21000000000000002,744018.0,744018.0,,,,0.2,-151759.43792897416,-718805.3551728022,-417132.016368382,-453432.7767333944,-667473.4169148235,-481720.6006236753,329961.1626947011,-237084.75454912696,64588.584255293244,28287.82389028085,-185752.8162911482,,,min_headroom,,,U,12808702.0833652,,-13960754.051788347,min,13960754.051789347,-11456450013308.672,0.0,11456450013308.672,,,,-11456449983468.096,29840.575083111413,,-11456450013308.672,0.8498170914342631,,25359.030723855485,,,,6612.7616,1000.0,1.0
2003-09-30,16827.159,6730.863600000001,16827.159,16827.159,4.22765625,696.4030483020292,1.0,1.5706392485452598,0.9758930347116269,1164146.8165470068,1164146.8165470068,1164146.8165470068,222357.90000000002,103767.02,155650.53000000003,148238.60000000003,111178.95000000001,0.8537005751779227,,,,,,,,,,,,0.35,0.3,0.2,0.15,0.30000000000000004,0.20000000000000004,0.15000000000000002,0.14,0.21000000000000002,741193.0,741193.0,,,,0.2,-151183.2147567534,-716076.086353549,-415548.1864795343,-451711.1146307681,-664939.0529575208,-479891.5310356252,328708.3162788718,-236184.55531792383,64343.34455609089,28180.416404857126,-185047.52192189562,,,min_headroom,,,U,12813434.39424234,,-13960754.051788347,min,13960754.051789347,-11456450008576.361,0.0,11456450008576.361,,,,295.255000000001,-4437.0558771402575,,4732.310877140611,0.8524059409045424,,-3782.1727897997707,,,,6730.863600000001,1000.0,1.0
2003-12-31,17106.15,6842.460000000001,17106.15,17106.15,4.285161290322581,707.9492744266431,1.0,1.5706392485452598,0.9758930347116269,1211828.2828543438,1211828.2828543438,1211828.2828543438,231465.30000000005,108017.14000000001,162025.71000000002,154310.20000000004,115732.65000000002,0.8554738891824447,0.9053246625395774,707513.807,722727.5380000001,715120.6725,707513.807,-0.0221096918294611,0.3415449566780271,-1.8895653267549049,-0.194562169318304,-0.523376687302113,-0.194562169318304,0.35,0.3,0.2,0.15,0.30000000000000004,0.20000000000000004,0.15000000000000002,0.14,0.21000000000000002,771551.0,771551.0,,1.01,-0.1046753374604226,0.2,-157375.42115048016,-745405.3404473155,-432568.3308213531,-470212.4307764425,-692173.8214586864,-499547.0689308556,342171.64778037544,-245858.27151645988,66978.73810950248,29334.638154413085,-192626.75252783077,753155.0,707513.807,min_headroom,2864112512616.303,-2864112495510.1533,U,12766031.918935003,4181059.5329350047,-13960754.051788347,min,13960754.051789347,-11456450055978.838,0.0,11456450055978.838,,,,278.9910000000018,47681.46630733693,,-47402.47530733794,0.8545872321801837,,40747.97231787975,,,,6842.460000000001,1000.0,1.0
2004-03-31,17427.161,6970.8644,12217196000000.0,12217196000000.0,4.01,721.2345259024556,10.0,1.5706392485452598,0.9758930347116269,1194824.5423495928,1194824.5423495928,1194824.5423495928,228217.50000000003,106501.50000000001,159752.25000000003,152145.00000000003,114108.75000000001,0.864939289698171,,,,,,,,,,,,0.35,0.3,0.2,0.15,0.30000000000000004,0.20000000000000004,0.15000000000000002,0.14,0.21000000000000002,760725.0,760725.0,,,,0.2,-155167.21157084758,-734946.2026642232,-426498.75829863985,-463614.65593643097,-682461.6005023118,-492537.6857944907,337370.4742236431,-242408.51686973247,66038.92749585083,28923.029858059715,-189923.91470782115,,,min_headroom,4734729210093.042,7482466789906.958,U,12217208765929.51,,-13960754.051788347,min,13960754.051789347,760745943918.7539,760745943918.7539,0.0,,,,12217195982893.85,-17003.740504750982,,12217195999897.592,0.8602065894403079,,-14626.729627319863,,,,6970.8644,1000.0,1.0
2004-06-30,17834.974,7133.9896,17834.974,17834.974,4.597096774193548,738.1121352681956,1.0,1.5706392485452598,0.9758930347116269,1224435.8041024166,1224435.8041024166,1224435.8041024166,233873.40000000002,109140.92000000001,163711.38,155915.60000000003,116936.70000000001,0.8613270695117152,,,,,,,,,,,,0.35,0.3,0.2,0.15,0.30000000000000004,0.20000000000000004,0.15000000000000002,0.14,0.21000000000000002,779578.0,779578.0,,,,0.2,-159012.71085080446,-753160.3283454202,-437068.65029667364,-475104.388899551,-699375.0035773654,-504744.21639396297,345731.5055431585,-248416.11195145722,67675.56609728932,29639.827494411962,-194630.78718340246,,,min_headroom,3945607678050.0312,-3945607660215.057,U,12754153.22168693,,-13960754.051788347,min,13960754.051789347,-11456450067857.533,0.0,11456450067857.533,,,,-12217195982165.025,29611.261752823833,,-12217196011776.287,0.8631331796049431,,25558.462508829074,,,,7133.9896,1000.0,1.0
2004-09-30,18213.311,7285.324400000001,18213.311,18213.311,4.30140625,753.7698609772975,1.0,1.5706392485452598,0.9758930347116269,1235040.7603085942,1235040.7603085942,1235040.7603085942,235899.00000000003,110086.20000000001,165129.30000000002,157266.00000000003,117949.50000000001,0.8615813639979488,1.598004169083763,709415.6282,734701.4188,722058.5235,709415.6282,-0.3350625186714532,0.2118664186688593,-0.0567413637409614,-0.7263077558376164,-0.0599791545811851,-0.7263077558376164,0.35,0.3,0.2,0.15,0.30000000000000004,0.20000000000000004,0.15000000000000002,0.14,0.21000000000000002,786330.0,786330.0,,1.61,-0.011995830916237021,0.2,-160389.93522561318,-759683.5223516496,-440854.14389295666,-479219.31368430605,-705432.3577153148,-509115.85457396804,348725.91934835486,-250567.66777768155,68261.71068101138,29896.540889661992,-196316.5031413468,785273.0,709415.6282,min_headroom,3381949440930.4995,-3381949422717.1885,U,12743926.602480752,4162757.8588807546,-13960754.051788347,min,13960754.051789347,-11456450078084.154,0.0,11456450078084.154,,,,378.3370000000032,10604.956206177594,,-10226.61920617707,0.861454216754832,,9135.684242312014,,,,7285.324400000001,1000.0,1.0
2004-12-31,18722.551,7489.0204,18722.551,18722.551,4.175806451612903,774.8450934819244,1.0,1.5706392485452598,0.9758930347116269,1273700.4747722873,1273700.4747722873,1273700.4747722873,243283.20000000004,113532.16000000002,170298.24000000002,162188.80000000002,121641.60000000002,0.8629219692672407,2.1229494553967605,702467.6352,737332.7568,719900.196,702467.6352,-0.5315202407497057,0.3205525720696806,-0.3447905003685704,-0.9449939492398108,-0.1852527230161985,-0.9449939492398108,0.35,0.3,0.2,0.15,0.30000000000000004,0.20000000000000004,0.15000000000000002,0.14,0.21000000000000002,810944.0,810944.0,,2.16,-0.0370505446032397,0.2,-165410.52183129176,-783463.4241984105,-454653.9275687432,-494220.018460959,-727514.0690232959,-525052.39221654,359641.87038524833,-258411.03198187042,70398.46464779688,30832.373755581037,-202461.67680675583,807063.0,702467.6352,min_headroom,2959205763154.5063,-2959205744431.9556,U,12705776.12801706,4110711.398417061,-13960754.051788347,min,13960754.051789347,-11456450116234.627,0.0,11456450116234.627,,,,509.23999999999796,38659.71446369309,-6947.993000000017,-38150.474463691935,0.8622516666325948,1.8604768122402617,33334.4032278596,-12926.579868107685,46260.98309596728,-45751.743095967286,7489.0204,1000.0,1.0
2005-03-31,19053.458,7621.3832,13039197000000.0,13039197000000.0,4.303606557377049,788.5398974297851,10.0,1.5706392485452598,0.9758930347116269,1268371.2958019732,1268371.2958019732,1268371.2958019732,242265.30000000005,113057.14000000001,169585.71000000002,161510.20000000004,121132.65000000002,0.8907734849249006,,,,,,,,,,,,0.35,0.3,0.2,0.15,0.30000000000000004,0.20000000000000004,0.15000000000000002,0.14,0.21000000000000002,807551.0,807551.0,,,,0.2,-164718.44210621386,-780185.4032767374,-452751.6497588812,-492152.1956240701,-724470.1409145781,-522855.56633609615,358137.12422988226,-257329.83694064128,70103.91657721496,30703.370712026022,-201614.57457848196,,,min_headroom,4079204789470.672,8959992210529.328,U,13039209692382.758,,-13960754.051788347,min,13960754.051789347,1582746870372.002,1582746870372.002,0.0,,,,13039196981277.45,-5329.178970314097,,13039196986606.629,0.8768477270960706,,-4672.8784674080935,,,,7621.3832,1000.0,1.0
2005-06-30,19555.95,7822.380000000001,19555.95,19555.95,4.15859375,809.3358595139007,1.0,1.5706392485452598,0.9758930347116269,1272346.5837400411,1272346.5837400411,1272346.5837400411,243024.60000000003,113411.48000000001,170117.22000000003,162016.40000000002,121512.30000000002,0.8662421193226959,3.099947895620719,668253.096,717947.064,693100.08,668253.096,-0.2349430603068874,0.3434000976434162,0.7907613969742582,-1.0246924244548037,0.2997394781035956,-1.0246924244548037,0.35,0.3,0.2,0.15,0.30000000000000004,0.20000000000000004,0.15000000000000002,0.14,0.21000000000000002,810082.0,810082.0,,3.04,0.059947895620719116,0.2,-165234.6972739628,-782630.6349162171,-454170.64920973906,-493694.68298044085,-726740.7515963243,-524494.2831953368,359259.58592137403,-258136.35172088025,70323.63398559776,30799.600214895967,-202246.46840098745,817335.0,668253.096,min_headroom,3671284312479.2,-3671284292923.25,U,12707963.418049306,4044469.6100493055,-13960754.051788347,min,13960754.051789347,-11456450114047.338,0.0,11456450114047.338,,,,-13039196980444.05,3975.2879380679224,,-13039196984419.34,0.8785078021237982,,3492.3214692812962,,,,7822.380000000001,1000.0,1.0
